Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_186.txt,InsertionSort,804,243544,242546
random,1000,data_186.txt,QuickSort,95,10172,5467
random,1000,data_186.txt,MergeSort,265,8734,8734
random,1000,data_187.txt,InsertionSort,813,240004,239012
random,1000,data_187.txt,QuickSort,89,10401,6246
random,1000,data_187.txt,MergeSort,258,8695,8695
random,1000,data_188.txt,InsertionSort,805,252742,251751
random,1000,data_188.txt,QuickSort,95,11234,6974
random,1000,data_188.txt,MergeSort,252,8699,8699
random,1000,data_189.txt,InsertionSort,774,248578,247587
random,1000,data_189.txt,QuickSort,103,11857,6281
random,1000,data_189.txt,MergeSort,362,8711,8711
random,1000,data_19.txt,InsertionSort,749,242200,241209
random,1000,data_19.txt,QuickSort,92,10054,6238
random,1000,data_19.txt,MergeSort,256,8729,8729
random,1000,data_190.txt,InsertionSort,792,248114,247122
random,1000,data_190.txt,QuickSort,120,10728,5555
random,1000,data_190.txt,MergeSort,336,8714,8714
random,1000,data_191.txt,InsertionSort,753,244610,243618
random,1000,data_191.txt,QuickSort,87,10818,5957
random,1000,data_191.txt,MergeSort,312,8700,8700
random,1000,data_192.txt,InsertionSort,784,253402,252410
random,1000,data_192.txt,QuickSort,87,10452,5554
random,1000,data_192.txt,MergeSort,244,8706,8706
random,1000,data_193.txt,InsertionSort,1375,263339,262346
random,1000,data_193.txt,QuickSort,87,11172,5668
random,1000,data_193.txt,MergeSort,239,8737,8737
random,1000,data_194.txt,InsertionSort,740,242345,241353
random,1000,data_194.txt,QuickSort,90,10499,6424
random,1000,data_194.txt,MergeSort,250,8683,8683
random,1000,data_195.txt,InsertionSort,776,245609,244619
random,1000,data_195.txt,QuickSort,111,10888,5100
random,1000,data_195.txt,MergeSort,253,8721,8721
random,1000,data_196.txt,InsertionSort,1285,244250,243255
random,1000,data_196.txt,QuickSort,121,12036,5220
random,1000,data_196.txt,MergeSort,464,8691,8691
random,1000,data_197.txt,InsertionSort,761,245984,244991
random,1000,data_197.txt,QuickSort,92,10367,5727
random,1000,data_197.txt,MergeSort,246,8699,8699
random,1000,data_198.txt,InsertionSort,818,253420,252429
random,1000,data_198.txt,QuickSort,95,10690,5261
random,1000,data_198.txt,MergeSort,271,8707,8707
random,1000,data_199.txt,InsertionSort,848,253428,252436
random,1000,data_199.txt,QuickSort,100,11057,7032
random,1000,data_199.txt,MergeSort,275,8677,8677
random,1000,data_2.txt,InsertionSort,1316,247042,246052
random,1000,data_2.txt,QuickSort,93,11767,6669
random,1000,data_2.txt,MergeSort,247,8713,8713
random,1000,data_20.txt,InsertionSort,798,253075,252085
random,1000,data_20.txt,QuickSort,86,10358,5759
random,1000,data_20.txt,MergeSort,243,8718,8718
random,1000,data_200.txt,InsertionSort,765,248518,247526
random,1000,data_200.txt,QuickSort,94,12393,7009
random,1000,data_200.txt,MergeSort,245,8736,8736
random,1000,data_201.txt,InsertionSort,792,251308,250315
random,1000,data_201.txt,QuickSort,95,11136,6511
random,1000,data_201.txt,MergeSort,258,8700,8700
random,1000,data_202.txt,InsertionSort,805,248315,247321
random,1000,data_202.txt,QuickSort,94,10368,5948
random,1000,data_202.txt,MergeSort,267,8716,8716
random,1000,data_203.txt,InsertionSort,794,240865,239873
random,1000,data_203.txt,QuickSort,92,10770,5764
random,1000,data_203.txt,MergeSort,411,8737,8737
random,1000,data_204.txt,InsertionSort,809,259085,258091
random,1000,data_204.txt,QuickSort,95,12404,7085
random,1000,data_204.txt,MergeSort,252,8712,8712
random,1000,data_205.txt,InsertionSort,792,250489,249494
random,1000,data_205.txt,QuickSort,90,10757,5525
random,1000,data_205.txt,MergeSort,252,8699,8699
random,1000,data_206.txt,InsertionSort,810,246710,245719
random,1000,data_206.txt,QuickSort,95,10356,5735
random,1000,data_206.txt,MergeSort,260,8705,8705
random,1000,data_207.txt,InsertionSort,827,247078,246087
random,1000,data_207.txt,QuickSort,96,10711,6157
random,1000,data_207.txt,MergeSort,262,8710,8710
random,1000,data_208.txt,InsertionSort,1431,251885,250892
random,1000,data_208.txt,QuickSort,103,11470,7031
random,1000,data_208.txt,MergeSort,425,8709,8709
random,1000,data_209.txt,InsertionSort,1190,255345,254355
random,1000,data_209.txt,QuickSort,93,11828,5735
random,1000,data_209.txt,MergeSort,251,8732,8732
random,1000,data_21.txt,InsertionSort,1011,246074,245082
random,1000,data_21.txt,QuickSort,90,11013,5910
random,1000,data_21.txt,MergeSort,397,8705,8705
random,1000,data_210.txt,InsertionSort,800,250847,249858
random,1000,data_210.txt,QuickSort,90,11097,5248
random,1000,data_210.txt,MergeSort,281,8702,8702
random,1000,data_211.txt,InsertionSort,1488,254294,253305
random,1000,data_211.txt,QuickSort,146,10987,6745
random,1000,data_211.txt,MergeSort,503,8709,8709
